cikkszam,korona,Eszköz,Alszám,lelszam,Megnev,dátuma,Beszért,KumÉCS,Kszért,Pénznem,Telephely,Gyártszám,Típusmegn,Mennyiség,mennyitip,Tipus,Hely,Megjegyzés,Mező20,Mező21
127-000081/1,,,1,082914,MICROFON,23/05/2006,13080,-13080,0,HUF,2080000000,,,1,DB,INFO,,,,
127-000102,1/20146,3018154,0,034727,HANGTECHNIKAI ESZKÖZ,29/09/2006,276749,-276749,0,HUF,2080000000,-,EGYEDI,1,DB,INFO,studio végerősítő,,,
127-000102/2,,,1,085005,HANGFAL,21/05/2008,384000,-384000,0,HUF,2080000000,1/20146,,4,DB,INFO,studio,,,
127-000102/2,,,2,085003,MIKROFON,22/12/2007,723998,-723998,0,HUF,2080000000,1/20146/21,,4,DB,INFO,studio,,,
127-000102/2,,,3,085004,MIKROFON,22/12/2007,153000,-153000,0,HUF,2080000000,1/20146/22,,1,DB,INFO,studio,,,
127-000102/4,,,4,084986,MIKROFON,05/10/2006,131700,-131700,0,HUF,2080000000,1/20146/4,,3,DB,INFO,studio,,,
127-000102/5,,,5,084987,CD LEJÁTSZÓ,05/10/2006,155000,-155000,0,HUF,2080000000,1/20146/5,,1,DB,INFO,studio,,,
127-000102/6,,,6,084988,HANGFAL,05/10/2006,70400,-70400,0,HUF,2080000000,1/20146/6,,2,DB,INFO,studio,,,
127-000102/7,,,7,084989,MIKROFON,05/10/2006,131800,-131800,0,HUF,2080000000,1/20146/7,,2,DB,INFO,studio,,,
127-000102/2,,,8,084984,MIKROFON,05/10/2006,15900,-15900,0,HUF,2080000000,1/20146/2,,1,DB,INFO,studio,,,
127-000102/1,,,9,084983,ERŐSÍTŐ,05/10/2006,97900,-97900,0,HUF,2080000000,1/20146/1,,1,DB,INFO,studio,,,
127-000102/3,,,10,084985,MIKROFON,05/10/2006,89800,-89800,0,HUF,2080000000,1/20146/3,,2,DB,INFO,studio,,,
127-000102/1,,,11,084996,OMNI MIKR. KÁBEL (30 m),05/10/2006,4990,-4990,0,HUF,2080000000,1/20146/14,,1,DB,INFO,studio,,,
127-000102/1,,,12,084997,ELEM,05/10/2006,6180,-6180,0,HUF,2080000000,1/20146/15,,2,DB,INFO,studio,,,
127-000102/1,,,13,084999,BEHRINGER MDX-4600,15/01/2007,42343,-42343,0,HUF,2080000000,1/20146/17,,1,DB,INFO,studio,,,
127-000102/1,,,14,085001,XLR-XLR KÁBEL,15/01/2007,12701,-12701,0,HUF,2080000000,1/20146/19,,1,DB,INFO,studio,,,
127-000102/2,,,15,085002,Tartozék,15/01/2007,14682,-14682,0,HUF,2080000000,1/20146/20,,1,DB,INFO,studio,,,
127-000102/1,,,16,085000,BEGRINGER MDX-1600,15/01/2007,46812,-46812,0,HUF,2080000000,1/20146/18,,1,DB,INFO,studio,,,
127-183555,1/24182,3018257,0,183555,VIDEOKAMERA,27/07/2010,341625,-341625,0,HUF,2080000000,S0103424087,SONY HD 64GB,1,DB,INFO,selejt,,,
127-203663,1/25081,3018303,0,203663,CD-S RÁDIÓSMAGNÓ,05/04/2011,14999,-14999,0,HUF,2080000000,GC1B1038220354,PHILIPS AZ,1,DB,INFO,,,,
127-203664,1/25079,3018304,0,203664,CD-S RÁDIÓSMAGNÓ,05/04/2011,14999,-14999,0,HUF,2080000000,GC1B1038219961,PHILIPS AZ,1,DB,INFO,,,,
127-203665,1/25080,3018305,0,203665,CD-S RÁDIÓSMAGNÓ,05/04/2011,14999,-14999,0,HUF,2080000000,GC1B1038220362,PHILIPS AZ,1,DB,INFO,,,,
127-204701,1/25172,3018326,0,204701,MÉDIA KONVERTER,08/06/2011,10812,-10812,0,HUF,2080000000,?,MC200CM,1,DB,INFO,Szerver,,,
127-204702,1/25173,3018327,0,204702,MÉDIA KONVERTER,08/06/2011,10813,-10813,0,HUF,2080000000,?,MC200CM,1,DB,INFO,Szerver,,,
1274-267953,1/27135,3018413,0,267953,DIKTAFON,24/02/2014,12394,-12394,0,HUF,2080000000,200262431,OLYMPUS,1,DB,INFO,,,,
1274-267953/,,,1,267952,MIKROFON,29/09/2014,4125,-4125,0,HUF,2080000000,1/27135/1,,1,DB,INFO,,,,
1274-267955,1/27136,3018414,0,267955,DIKTAFON,24/02/2014,12395,-12395,0,HUF,2080000000,200262429,OLYMPUS,1,DB,INFO,,,,
1274-267955/,,,1,267954,MIKROFON,29/09/2014,4125,-4125,0,HUF,2080000000,1/27136/1,,1,DB,INFO,,,,
130-000104,1/19217,3018496,0,027904,TELEFON,26/04/2006,39608,-39608,0,HUF,2080000000,04GM001827,4601D,1,DB,INFO,,,,
130-000104/1,,,1,082857,TÁPEGYSÉG,19/05/2006,24804,-24804,0,HUF,2080000000,1/19217/1,,1,DB,INFO,Szerver,,,
130-000105,1/19218,3018497,0,027905,TELEFON,26/04/2006,39608,-39608,0,HUF,2080000000,04GM001968,4601D,1,DB,INFO,Szerver,,,
130-000105/2,,,1,151968,SZÜNETMENTES (POWER),28/03/2009,6900,-6900,0,HUF,2080000000,1/19218/2,,1,DB,INFO,,,,
130-000105/1,,,2,082858,TÁPEGYSÉG,19/05/2006,24804,-24804,0,HUF,2080000000,1/19218/1,,1,DB,INFO,Szerver,,,
130-000106,1/19219,3018498,0,027906,TELEFON,26/04/2006,39608,-39608,0,HUF,2080000000,04GM03001830,4601D,1,DB,INFO,,,,
130-000106/1,,,1,082859,TÁPEGYSÉG,19/05/2006,24804,-24804,0,HUF,2080000000,1/19219/1,,1,DB,INFO,Szerver,,,
130-000107,1/19220,3018499,0,027907,TELEFON,26/04/2006,39609,-39609,0,HUF,2080000000,04GM001966,4601D,1,DB,INFO,,,,
130-000107/1,,,1,082860,TÁPEGYSÉG,19/05/2006,24804,-24804,0,HUF,2080000000,1/19220/1,,1,DB,INFO,Szerver,,,
130-000108,1/19221,3018500,0,027908,TELEFON,26/04/2006,39609,-39609,0,HUF,2080000000,04GM001964,4601D,1,DB,INFO,Koli Anikó,,,
130-000108/1,,,1,082861,TÁPEGYSÉG,19/05/2006,24804,-24804,0,HUF,2080000000,1/19221/1,,1,DB,INFO,Szerver,,,
130-000109,1/19222,3018501,0,027909,TELEFON,26/04/2006,39609,-39609,0,HUF,2080000000,04GM03001826,4601D,1,DB,INFO,szerver,,,
130-000109/1,,,1,082862,TÁPEGYSÉG,19/05/2006,24804,-24804,0,HUF,2080000000,1/19222/1,,1,DB,INFO,Szerver,,,
130-000110,1/19223,3018502,0,027910,TELEFON,26/04/2006,39609,-39609,0,HUF,2080000000,04MGM03001825,4601D,1,DB,INFO,szerver,,,
130-000110/1,,,1,082863,TÁPEGYSÉG,19/05/2006,24804,-24804,0,HUF,2080000000,1/19223/1,,1,DB,INFO,Szerver,,,
130-000111,1/19224,3018503,0,027911,TELEFON,26/04/2006,39609,-39609,0,HUF,2080000000,04GM03001829,4601D,1,DB,INFO,,,,
130-000111/1,,,1,082864,TÁPEGYSÉG,19/05/2006,24804,-24804,0,HUF,2080000000,1/19224/1,,1,DB,INFO,Szerver,,,
130-000112,1/19225,3018504,0,027912,TELEFON,26/04/2006,39609,-39609,0,HUF,2080000000,04GM03001828,4601D,1,DB,INFO,,,,
130-000112/1,,,1,082865,TÁPEGYSÉG,19/05/2006,24804,-24804,0,HUF,2080000000,1/19225/1,,1,DB,INFO,Szerver,,,
130-000113,1/19226,3018505,0,027913,TELEFON,26/04/2006,39609,-39609,0,HUF,2080000000,04GM03001974,4601D,1,DB,INFO,,,,
130-000113/2,,,1,151969,SZÜNETMENTES (POWER),28/03/2009,6900,-6900,0,HUF,2080000000,1/19226/2,,1,DB,INFO,,,,
130-000113/1,,,2,082866,TÁPEGYSÉG,19/05/2006,24804,-24804,0,HUF,2080000000,1/19226/1,,1,DB,INFO,Szerver,,,
130-000114,1/19227,3018506,0,027914,TELEFON,26/04/2006,39609,-39609,0,HUF,2080000000,04GM03001972,4601D,1,DB,INFO,Szerver,,,
130-000114/2,,,1,151970,SZÜNETMENTES (POWER),28/03/2009,6900,-6900,0,HUF,2080000000,1/19227/2,,1,DB,INFO,,,,
130-000114/1,,,2,082867,TÁPEGYSÉG,19/05/2006,24804,-24804,0,HUF,2080000000,1/19227/1,,1,DB,INFO,Szerver,,,
130-000115,1/19228,3018507,0,027915,TELEFON,26/04/2006,39609,-39609,0,HUF,2080000000,04GM03001973,4601D,1,DB,INFO,Szerver,Volt cporta,,
130-000115/1,,,1,082868,TÁPEGYSÉG,19/05/2006,24804,-24804,0,HUF,2080000000,1/19228/1,,1,DB,INFO,Szerver,,,
130-000116,1/19229,3018508,0,027916,TELEFON,26/04/2006,39609,-39609,0,HUF,2080000000,04GM03001963,4601D,1,DB,INFO,,,,
130-000116/1,,,1,082869,TÁPEGYSÉG,19/05/2006,24804,-24804,0,HUF,2080000000,1/19229/1,,1,DB,INFO,Szerver,,,
130-000117,1/19230,3018509,0,027917,TELEFON,26/04/2006,39609,-39609,0,HUF,2080000000,04GM03001965,4601D,1,DB,INFO,,,,
130-000117/1,,,1,082870,TÁPEGYSÉG,19/05/2006,24804,-24804,0,HUF,2080000000,1/19230/1,,1,DB,INFO,Szerver,,,
130-000118,1/19231,3018510,0,027918,TELEFON,26/04/2006,39609,-39609,0,HUF,2080000000,04GM03001967,4601D,1,DB,INFO,szerver,,,
130-000118/1,,,1,082871,TÁPEGYSÉG,19/05/2006,24804,-24804,0,HUF,2080000000,1/19231/1,,1,DB,INFO,Szerver,,,
130-100006,1/22088,3018534,0,100006,FAX,18/08/2008,80186,-80186,0,HUF,2080000000,7LAF001189,PANASONIC,1,DB,INFO,Szerver,Polcon,,
130-151601,1/22569,3018538,0,151601,MOBILTELEFON,26/02/2009,96990,-96990,0,HUF,2080000000,356041022235083,SAMSUNG SHG,1,DB,INFO,,,,
130-151601/1,,,1,151602,FÜLHALLGATÓ (MIKROFON),03/03/2009,5592,-5592,0,HUF,2080000000,1/22569/1,,1,DB,INFO,,,,
130-151601/3,,,2,152173,SZIVARGYÚJTÓ TÖLTŐ,08/04/2009,2376,-2376,0,HUF,2080000000,1/22569/3,,1,DB,INFO,,,,
130-151601/2,,,3,152172,KÉSZÜLÉK TARTÓ,08/04/2009,7176,-7176,0,HUF,2080000000,1/22569/2,,1,DB,INFO,,,,
130-197537,1/25038,3018679,0,197537,MOBILTELEFON,21/03/2011,33900,-33900,0,HUF,2080000000,352286048841026,SAMSUNG GT,1,DB,INFO,,,,
130-197539,1/25037,3018681,0,197539,MOBILTELEFON,21/03/2011,13900,-13900,0,HUF,2080000000,356233043031381,NOKIA 2700,1,DB,INFO,,,,
130-204015,1/26000,3018686,0,204015,MOBILTELEFON,21/04/2011,23990,-23990,0,HUF,2080000000,355946044633738,NOKIA 7230/S,1,DB,INFO,,,,
130-211241,1/25345,3018719,0,211241,MOBILTELEFON,16/09/2011,43900,-43900,0,HUF,2080000000,358049044278823,SAMSUNG,1,DB,INFO,,,,
130-235546,1/25800,3018883,0,235546,SIM KÁRTYA,02/07/2012,1,-1,0,HUF,2080000000,04217010483204F,,1,DB,INFO,,,,
130-255074,1/26722,3018977,0,255074,SIM KÁRTYA,01/07/2013,1,-1,0,HUF,2080000000,04217030299937F,,1,DB,INFO,,,,
130-255526,1/26852,3018996,0,255526,LG NEXUS 4 MOBILTELEFON,10/09/2013,125895,-115180,10715,HUF,2080000000,306KPUU458814,E960,1,DB,INFO,Jasi?,,,
1304-289615,1/29036,3019404,0,289615,SIM KÁRTYA,17/08/2015,1,-1,0,HUF,2080000000,893670315615181000,,1,DB,INFO,,,,
1304-289616,1/29035,3019405,0,289616,SIM KÁRTYA,17/08/2015,1,-1,0,HUF,2080000000,04217010483261F,,1,DB,INFO,,,,
1304-293503,1/29355,3019434,0,293503,SIM KÁRTYA 703339913 Galambos Ildikó,17/12/2015,1,-1,0,HUF,2080000000,04217010484087F,,1,DB,INFO,Galambos Ildikó,,,
1304-301927,1/27814,3019449,0,301927,SIM KÁRTYA,06/12/2016,1,-1,0,HUF,2080000000,04217030299960F,,1,DB,INFO,,,,
163-000002,1/21828,3019585,0,034190,ZONGORA (OIANINO),02/04/2008,179000,-77865,101135,HUF,2080000000,NINCS,ORLA CDP-15,1,DB,INFO,studio,,,
B-655/304965,,3020134,0,015388,EGYÉB TÁBLA,20/09/2002,205800,-205800,0,HUF,2080000000,,PROLINE 100,3,DB,NEM INFO,,,,
B-655/305225,,3020135,0,015566,EGYÉB TÁBLA,01/10/2002,300075,-300075,0,HUF,2080000000,,,1,DB,NEM INFO,,,,
122-000100,B-653,3021305,0,017927,ÁLLVÁNYOS KERÁMIA ÉS FILCES TÁBLA,25/09/2003,158930,-158930,0,HUF,2080000000,,,2,DB,NEM INFO,,,,
122-000111,,3021314,0,018622,ASZTAL,24/03/2004,109245,-109245,0,HUF,2080000000,,,1,DB,NEM INFO,,,,
122-000112,,3021315,0,018623,SZEKRÉNY,24/03/2004,75105,-75105,0,HUF,2080000000,,,1,DB,NEM INFO,,,,
122-000113,,3021316,0,018624,GÖRGŐS IRATTÁROLÓ,24/03/2004,65930,-65930,0,HUF,2080000000,,,1,DB,NEM INFO,,,,
122-000114,,3021317,0,018625,ASZTAL,24/03/2004,101194,-101194,0,HUF,2080000000,,,1,DB,NEM INFO,,,,
122-000146,B-311,3021338,0,024330,TANÁRI ASZTAL,01/03/2005,90000,-90000,0,HUF,2080000000,BÚTOR,,1,DB,NEM INFO,,,,
122-000147,B-311,3021339,0,024331,TANÁRI ASZTAL (FIÓKOS),01/03/2005,59000,-59000,0,HUF,2080000000,BÚTOR,,1,DB,NEM INFO,,,,
122-000179,B-651/2005/...,3021359,0,025789,TÁBLARENDSZER (ISKOLAI),17/08/2005,528750,-528750,0,HUF,2080000000,BÚTOR,,1,DB,NEM INFO,,,,
122-000180,B-311/2005/208,3021360,0,026296,ÍRÓASZTAL,06/07/2005,188480,-188480,0,HUF,2080000000,BÚTOR,,2,DB,NEM INFO,,,,
122-000181,B-596/2005/208,3021361,0,026297,AJTÓS SZEKRÉNY,06/07/2005,109440,-109440,0,HUF,2080000000,BÚTOR,,2,DB,NEM INFO,,,,
122-000182,B-341/2005/2008,3021362,0,026303,TÁRGYALÓ ASZTAL,06/07/2005,88160,-88160,0,HUF,2080000000,BÚTOR,,1,DB,NEM INFO,,,,
122-000183,B-596/2005/2008,3021363,0,026304,ÜVEGES SZEKRÉNY,06/07/2005,90440,-90440,0,HUF,2080000000,BÚTOR,,1,DB,NEM INFO,,,,
122-000188,B-651/2005/208,3021367,0,026559,TÁBLA (KRÉTÁS+MÁGNESES),20/09/2005,71250,-71250,0,HUF,2080000000,BÚTOR,,1,DB,NEM INFO,,,,
122-000213,B-511/2006/208,3021389,0,027700,IRATSZEKRÉNY,17/03/2006,66808,-66808,0,HUF,2080000000,,CSER-FEKETE,1,DB,NEM INFO,,,,
122-000214,B-511/2006/208,3021390,0,027702,IRATSZEKRÉNY,17/03/2006,66809,-66809,0,HUF,2080000000,,T.M BÜKK,1,DB,NEM INFO,,,,
122-000215,B-341/2006/208,3021391,0,027703,TÁRGYALÓ ASZTAL,17/03/2006,57861,-57861,0,HUF,2080000000,,CSER,1,DB,NEM INFO,,,,
122-000411,B-551/2006/208,3021560,0,031247,IRATSZEKRÉNY (EGYEDI),21/12/2006,70273,-70273,0,HUF,2080000000,39256,EGYEDI,1,DB,NEM INFO,,,,
122-000412,B-393/2006/208,3021561,0,031248,SZÁMÍTÓGÉP ASZTAL,21/12/2006,79116,-79116,0,HUF,2080000000,39258,EGYEDI,1,DB,NEM INFO,,,,
122-000412/1,,,1,085903,SZÁMÍTÓGÉP TARTÓ,16/01/2007,13110,-13110,0,HUF,2080000000,,,1,DB,NEM INFO,,,,
122-000452,B-561/2007/208,3021588,0,032347,SZEKRÉNY (TÁROLÓ),07/06/2007,59400,-59400,0,HUF,2080000000,NINCS,EGYEDI,1,DB,NEM INFO,,,,
122-000453,B-311/2007/208,3021589,0,032348,MUNKAASZTAL (SZERELT),07/06/2007,780600,-780600,0,HUF,2080000000,NINCS,EGYEDI,10,DB,NEM INFO,,,,
122-000459,B-312/2007/208,3021594,0,032483,ASZTAL,13/06/2007,93663,-93663,0,HUF,2080000000,4SKES168---Y,EGYEDI,1,DB,NEM INFO,,,,
122-000460,B-511/2007/208,3021595,0,032484,SZEKRÉNY (POLCOS),13/06/2007,104598,-104598,0,HUF,2080000000,4TNSA158D---YYY,,1,DB,NEM INFO,,,,
122-000461,B-511/2007/208,3021596,0,032485,SZEKRÉNY (KÉT AJTÓS),13/06/2007,69007,-69007,0,HUF,2080000000,4ESZ130ZK---OBB,CSERESZNYE,1,DB,NEM INFO,,,,
122-000462,B-511/2007/208,3021597,0,032486,"SZEKRÉNY (KÖZÉPMAGAS, FELÜL POLCOS)",13/06/2007,55378,-55378,0,HUF,2080000000,4ESZ127Z,EGYEDI,1,DB,NEM INFO,,,,
122-000464,B-321/2007/208,3021599,0,032794,TÁRGYALÓ ASZTAL,13/09/2007,188019,-188019,0,HUF,2080000000,YPL045J/E,NINCS,2,DB,NEM INFO,,,,
122-000465,B-551/2007/208,3021600,0,032795,SAROKPOLC,13/09/2007,151569,-151569,0,HUF,2080000000,YSNS41J/I,NINCS,3,DB,NEM INFO,,,,
122-000466,B-581/2007/208,3021601,0,032796,KONTÉNER (4 FIÓKOS),13/09/2007,50576,-50576,0,HUF,2080000000,YSI569,NINCS,1,DB,NEM INFO,,,,
122-000467,B-321/2007/208,3021602,0,032797,TÁRGYALÓ ASZTAL,13/09/2007,76155,-76155,0,HUF,2080000000,YMP008,NINCS,1,DB,NEM INFO,,,,
122-000472,1/21066/3,3021604,0,032896,VEVTÍTŐVÁSZON,02/10/2007,219120,-219120,0,HUF,2080000000,NINCS,SCREENLINE,1,DB,INFO,studio,,,
122-000473,1/21067/3,3021605,0,032897,VEVTÍTŐVÁSZON,02/10/2007,219120,-219120,0,HUF,2080000000,NINCS,SCREENLINE,1,DB,INFO,studio,,,
122-000474,B-612/2007/208,3021606,0,032905,INDEX POLC,08/10/2007,104880,-104880,0,HUF,2080000000,NINCS,EGYEDI,2,DB,NEM INFO,,,,
122-166138,1/23688/2,3021805,0,166138,GÖRGŐS ÁLLVÁNY,22/12/2009,231402,-231402,0,HUF,2080000000,?,FS600I2/600I,1,DB,NEM INFO,,,,
122-211290,B-425/2011/208,3023225,0,211290,FORGÓSZÉK,30/09/2011,32472,-32472,0,HUF,2080000000,9ATPEGAZCLXA,PEGAZ CLX,1,DB,NEM INFO,,,,
122-211291,B-425/2011/208,3023226,0,211291,FORGÓSZÉK,30/09/2011,32472,-32472,0,HUF,2080000000,9ATPEGAZCLXA,PEGAZ CLX,1,DB,NEM INFO,,,,
122-211292,B-425/2011/208,3023227,0,211292,FORGÓSZÉK,30/09/2011,32471,-32471,0,HUF,2080000000,9ATPEGAZCLXA,PEGAZ CLX,1,DB,NEM INFO,,,,
122-224650,B-655/2012/208,3024151,0,224650,TÁBLA,28/02/2012,10414,-10414,0,HUF,2080000000,,,1,DB,NEM INFO,,,,
5000423,1/30233,3025259,0,3025259-0000,Vákum Pumpa,08/01/2018,463732,-133193,330539,HUF,2080000000,,,2,DB,NEM INFO,,,,
,1/30527,,0,1003592-0000,Licensz (WIN Pro 10),13/02/2018,35200,-35200,0,HUF,2080000000,,,1,DB,SZOFTVER,,,,
,1/30528,1003593,0,1003593-0000,Licensz (WIN Pro 10),13/02/2018,35200,-35200,0,HUF,2080000000,,,1,DB,SZOFTVER,,,,
,1/30529,1003594,0,1003594-0000,Licensz (WIN Pro 10),13/02/2018,35200,-35200,0,HUF,2080000000,,,1,DB,SZOFTVER,,,,
,1/30530,1003595,0,1003595-0000,Licensz (WIN Pro 10),13/02/2018,35200,-35200,0,HUF,2080000000,,,1,DB,SZOFTVER,,,,
,1/30531,1003596,0,1003596-0000,Licensz (WIN Pro 10),13/02/2018,35200,-35200,0,HUF,2080000000,,,1,DB,SZOFTVER,,,,
,1/30532,1003597,0,1003597-0000,Licensz (WIN Pro 10),13/02/2018,35200,-35200,0,HUF,2080000000,,,1,DB,SZOFTVER,,,,
,1/30533,1003598,0,1003598-0000,Licensz (WIN Pro 10),13/02/2018,35200,-35200,0,HUF,2080000000,,,1,DB,SZOFTVER,,,,
,1/30534,1003599,0,1003599-0000,Licensz (WIN Pro 10),13/02/2018,35200,-35200,0,HUF,2080000000,,,1,DB,SZOFTVER,,,,
,1/30535,1003600,0,1003600-0000,Licensz (WIN Pro 10),13/02/2018,35200,-35200,0,HUF,2080000000,,,1,DB,SZOFTVER,,,,
,1/30536,1003601,0,1003601-0000,Licensz (WIN Pro 10),13/02/2018,35200,-35200,0,HUF,2080000000,,,1,DB,SZOFTVER,,,,
,1/30537,1003602,0,1003602-0000,Licensz (WIN Pro 10),13/02/2018,35200,-35200,0,HUF,2080000000,,,1,DB,SZOFTVER,,,,
